word,count,length,different letters,vowels,consonants
true,4,4,4,2,2
come,46,4,4,2,2
an,57,2,2,1,1
end,1,3,3,1,2
many,12,4,4,1,3
miles,3,5,5,2,3
ve,44,2,2,1,1
fallen,4,6,5,2,4
said,462,4,4,2,2
aloud,5,5,5,3,2
must,44,4,4,1,3
somewhere,3,9,7,4,5
near,15,4,4,2,2
centre,1,6,5,2,4
earth,4,5,5,2,3
let,22,3,3,1,2
four,8,4,4,2,2
thousand,2,8,8,3,5
you,411,3,3,2,1
learnt,2,6,6,2,4
several,4,7,6,3,4
things,31,6,6,1,5
sort,20,4,4,1,3
lessons,10,7,5,2,5
schoolroom,1,10,7,4,6
though,11,6,5,2,4
good,27,4,3,2,2
opportunity,8,11,8,4,7
showing,2,7,7,2,5
knowledge,3,9,8,3,6
listen,7,6,6,2,4
still,13,5,4,1,4
practice,1,8,7,3,5
yes,13,3,3,1,2
right,32,5,5,1,4
distance,8,8,8,3,5
latitude,2,8,7,4,4
longitude,2,9,9,4,5
got,45,3,3,1,2
idea,15,4,4,3,1
nice,6,4,4,2,2
grand,3,5,5,1,4
words,21,5,5,1,4
presently,2,9,8,2,7
began,58,5,5,2,3
through,14,7,6,2,5
funny,3,5,4,1,4
seem,8,4,3,2,2
among,12,5,5,2,3
people,13,6,4,3,3
walk,5,4,4,1,3
their,52,5,5,2,3
heads,10,5,5,2,3
downward,1,8,6,2,6
antipathies,1,11,8,5,6
rather,25,6,5,2,4
glad,11,4,4,1,3
listening,3,9,7,3,6
didn,14,4,3,1,3
sound,4,5,5,2,3
word,10,4,4,1,3
ask,11,3,3,1,2
them,88,4,4,1,3
name,10,4,4,2,2
country,1,7,7,2,5
know,88,4,4,1,3
please,19,6,5,3,3
ma,3,2,2,1,1
am,16,2,2,1,1
new,5,3,3,1,2
zealand,1,7,6,3,4
australia,1,9,7,5,4
curtsey,1,7,7,2,5
spoke,17,5,5,2,3
fancy,7,5,5,1,4
curtseying,1,10,10,3,7
re,38,2,2,1,1
air,15,3,3,2,1
manage,7,6,5,3,3
ignorant,1,8,7,3,5
little,128,6,4,2,4
girl,4,4,4,1,3
asking,5,6,6,2,4
perhaps,17,7,6,2,5
written,6,7,6,2,5
else,12,4,3,2,2
soon,25,4,3,2,2
talking,17,7,7,2,5
dinah,14,5,5,2,3
miss,4,4,3,1,3
night,5,5,5,1,4
should,27,6,6,2,4
cat,37,3,3,1,2
hope,3,4,4,2,2
remember,14,8,4,3,5
saucer,1,6,6,3,3
milk,2,4,4,1,3
tea,19,3,3,2,1
wish,21,4,4,1,3
are,54,3,3,2,1
mice,4,4,4,2,2
afraid,12,6,5,3,3
might,28,5,5,1,4
catch,4,5,4,1,4
bat,3,3,3,1,2
mouse,44,5,5,3,2
cats,13,4,4,1,3
eat,18,3,3,2,1
bats,4,4,4,1,3
saying,15,6,6,2,4
dreamy,1,6,6,2,4
sometimes,5,9,6,4,5
couldn,9,6,6,2,4
answer,9,6,6,2,4
question,17,8,8,4,4
matter,9,6,5,2,4
felt,23,4,4,1,3
dozing,1,6,6,2,4
begun,7,5,5,2,3
dream,7,5,5,2,3
walking,5,7,7,2,5
hand,21,4,4,1,3
earnestly,2,9,8,3,6
now,60,3,3,1,2
tell,32,4,3,1,3
truth,1,5,4,1,4
ever,21,4,3,2,2
thump,2,5,5,1,4
came,40,4,4,2,2
heap,1,4,4,2,2
sticks,1,6,5,1,5
leaves,6,6,5,3,3
bit,16,3,3,1,2
hurt,3,4,4,1,3
jumped,6,6,6,2,4
overhead,1,8,7,4,4
long,32,4,4,1,3
passage,4,7,5,3,4
sight,10,5,5,1,4
hurrying,1,8,7,2,6
lost,3,4,4,1,3
away,25,4,3,2,2
wind,2,4,4,1,3
turned,16,6,6,2,4
corner,4,6,5,2,4
ears,5,4,4,2,2
whiskers,3,8,7,2,6
behind,13,6,6,2,4
longer,3,6,6,2,4
low,15,3,3,1,2
hall,9,4,3,1,3
lit,1,3,3,1,2
row,2,3,3,1,2
lamps,1,5,5,1,4
hanging,3,7,5,2,5
roof,6,4,3,2,2
doors,2,5,4,2,3
round,41,5,5,2,3
locked,1,6,6,2,4
been,38,4,3,2,2
side,17,4,4,2,2
other,40,5,5,2,3
trying,14,6,6,1,5
every,12,5,4,2,3
door,30,4,3,2,2
walked,10,6,6,2,4
sadly,5,5,5,1,4
middle,7,6,5,2,4
wondering,7,9,8,3,6
three,28,5,4,2,3
legged,2,6,4,2,4
table,18,5,5,2,3
solid,1,5,5,2,3
glass,10,5,4,1,4
except,4,6,5,2,4
tiny,4,4,4,1,3
golden,7,6,6,2,4
key,9,3,3,1,2
belong,1,6,6,2,4
alas,4,4,3,2,2
locks,2,5,5,1,4
small,10,5,4,1,4
any,39,3,3,1,2
rate,9,4,4,2,2
open,7,4,4,2,2
however,20,7,6,3,4
second,4,6,6,2,4
curtain,1,7,7,3,4
fifteen,1,7,5,3,4
inches,6,6,6,2,4
high,16,4,3,1,3
lock,1,4,4,1,3
delight,3,7,7,2,5
fitted,1,6,5,2,4
opened,10,6,5,3,3
led,4,3,3,1,2
larger,7,6,5,2,4
than,24,4,4,1,3
rat,1,3,3,1,2
knelt,1,5,5,1,4
along,6,5,5,2,3
loveliest,1,9,7,4,5
garden,16,6,6,2,4
longed,2,6,6,2,4
wander,1,6,6,2,4
those,10,5,5,2,3
beds,2,4,4,1,3
bright,8,6,6,1,5
flowers,2,7,7,2,5
cool,2,4,3,2,2
fountains,2,9,8,4,5
head,50,4,4,2,2
doorway,1,7,6,3,4
go,50,2,2,1,1
poor,27,4,3,2,2
shoulders,4,9,8,3,6
shut,5,4,4,1,3
telescope,3,9,7,4,5
only,50,4,4,1,3
begin,13,5,5,2,3
happened,7,8,6,3,5
lately,1,6,5,2,4
few,9,3,3,1,2
indeed,16,6,4,3,3
really,13,6,5,2,4
impossible,3,10,8,4,6
waiting,9,7,6,3,4
back,39,4,4,1,3
half,23,4,4,1,3
hoping,3,6,6,2,4
find,21,4,4,1,3
rules,3,5,5,2,3
shutting,2,8,7,2,6
telescopes,1,10,7,4,6
bottle,10,6,5,2,4
certainly,14,9,9,3,6
neck,7,4,4,1,3
paper,4,5,4,2,3
label,2,5,4,2,3
drink,7,5,5,1,4
beautifully,2,11,9,5,6
printed,1,7,7,2,5
letters,1,7,5,2,5
wise,2,4,4,2,2
hurry,11,5,4,1,4
marked,6,6,6,2,4
poison,3,6,5,3,3
read,11,4,4,2,2
histories,1,9,7,4,5
children,10,8,8,2,6
who,63,3,3,1,2
burnt,1,5,5,1,4
eaten,1,5,4,3,2
wild,2,4,4,1,3
beasts,2,6,5,2,4
unpleasant,2,10,8,4,6
because,15,7,6,4,3
simple,5,6,6,2,4
friends,2,7,7,2,5
taught,4,6,5,2,4
red,3,3,3,1,2
poker,1,5,5,2,3
will,33,4,3,1,3
burn,2,4,4,1,3
hold,10,4,4,1,3
cut,5,3,3,1,2
your,62,4,4,2,2
finger,5,6,6,2,4
deeply,4,6,5,2,4
knife,3,5,5,2,3
usually,2,7,5,3,4
bleeds,1,6,5,2,4
forgotten,6,9,7,3,6
almost,6,6,6,2,4
certain,3,7,7,3,4
disagree,1,8,7,4,4
sooner,2,6,5,3,3
later,3,5,5,2,3
ventured,4,8,7,3,5
taste,2,5,4,2,3
finding,3,7,5,2,5
fact,8,4,4,1,3
mixed,2,5,5,2,3
flavour,1,7,7,3,4
cherry,1,6,5,1,5
tart,1,4,3,1,3
custard,1,7,7,2,5
pine,1,4,4,2,2
apple,1,5,4,2,3
roast,1,5,5,2,3
turkey,1,6,6,2,4
toffee,1,6,4,3,3
buttered,1,8,6,3,5
toast,1,5,4,2,3
finished,12,8,7,3,5
curious,19,7,6,4,3
feeling,7,7,6,3,4
ten,6,3,3,1,2
face,15,4,4,2,2
brightened,2,10,9,3,7
size,13,4,4,2,2
lovely,2,6,5,2,4
waited,11,6,6,3,3
minutes,11,7,7,3,4
shrink,1,6,6,1,5
further,3,7,6,2,5
nervous,5,7,7,3,4
altogether,5,10,8,4,6
candle,3,6,6,2,4
flame,1,5,5,2,3
blown,1,5,5,1,4
thing,49,5,5,1,4
while,25,5,5,2,3
more,49,4,4,2,2
decided,3,7,4,3,4
possibly,3,8,7,2,6
reach,4,5,5,2,3
plainly,1,7,6,2,5
best,12,4,4,1,3
climb,1,5,5,1,4
legs,3,4,4,1,3
slippery,1,8,7,2,6
sat,17,3,3,1,2
cried,20,5,5,2,3
crying,2,6,6,1,5
sharply,4,7,7,1,6
advise,1,6,6,3,3
leave,9,5,4,3,2
minute,21,6,6,3,3
generally,7,9,7,3,6
gave,15,4,4,2,2
advice,2,6,6,3,3
seldom,1,6,6,2,4
followed,8,8,6,3,5
scolded,1,7,6,2,5
severely,4,8,6,3,5
bring,3,5,5,1,4
tears,11,5,5,2,3
remembered,5,10,5,4,6
box,10,3,3,1,2
cheated,1,7,6,3,4
game,13,4,4,2,2
croquet,9,7,7,3,4
playing,2,7,7,2,5
against,9,7,6,3,4
child,11,5,5,1,4
fond,4,4,4,1,3
pretending,1,10,8,3,7
two,40,3,3,1,2
pretend,1,7,6,2,5
hardly,12,6,6,1,5
enough,18,6,6,3,3
left,14,4,4,1,3
respectable,1,11,9,4,7
person,4,6,6,2,4
eye,7,3,2,2,1
lying,8,5,5,1,4
cake,3,4,4,2,2
currants,1,8,7,2,6
makes,11,5,5,2,3
grow,13,4,4,1,3
can,63,3,3,1,2
smaller,3,7,6,2,5
creep,1,5,4,2,3
don,61,3,3,1,2
care,4,4,4,2,2
happens,5,7,6,2,5
ate,1,3,3,2,1
anxiously,14,9,9,4,5
holding,3,7,7,2,5
growing,11,7,6,2,5
surprised,7,9,7,3,6
remained,3,8,7,4,4
same,24,4,4,2,2
sure,24,4,4,2,2
eats,1,4,4,2,2
expecting,3,9,8,3,6
dull,3,4,3,1,3
life,12,4,4,2,2
common,1,6,4,2,4
set,14,3,3,1,2
work,8,4,4,1,3
pool,11,4,3,2,2
curiouser,2,9,7,5,4
forgot,2,6,5,2,4
speak,15,5,5,2,3
english,6,7,7,2,5
opening,3,7,6,3,4
largest,1,7,7,2,5
bye,2,3,3,1,2
far,13,3,3,1,2
shoes,7,5,4,2,3
stockings,1,9,8,2,7
dears,3,5,5,2,3
shan,6,4,4,1,3
able,1,4,4,2,2
deal,12,4,4,2,2
myself,7,6,6,1,5
kind,7,4,4,1,3
won,26,3,3,1,2
want,9,4,4,1,3
give,12,4,4,2,2
pair,5,4,4,2,2
boots,4,5,4,2,3
christmas,1,9,8,2,7
planning,1,8,6,2,6
carrier,1,7,5,3,4
sending,2,7,6,2,5
presents,2,8,6,2,6
odd,1,3,2,1,2
directions,3,10,9,4,6
foot,10,4,3,2,2
esq,1,3,3,1,2
hearthrug,1,9,7,3,6
fender,1,6,5,2,4
love,3,4,4,2,2
nonsense,7,8,4,3,5
struck,2,6,6,1,5
nine,5,4,3,2,2
hopeless,1,8,6,3,5
ashamed,2,7,6,3,4
yourself,10,8,8,3,5
stop,6,4,4,1,3
shedding,1,8,7,2,6
gallons,1,7,6,2,5
until,5,5,5,2,3
reaching,1,8,8,3,5
heard,30,5,5,2,3
pattering,3,9,8,3,6
hastily,16,7,7,2,5
dried,1,5,4,2,3
returning,1,9,7,3,6
splendidly,1,10,8,2,8
dressed,1,7,4,2,5
kid,5,3,3,1,2
gloves,11,6,6,2,4
fan,10,3,3,1,2
he,125,2,2,1,1
trotting,2,8,6,2,6
muttering,3,9,8,3,6
himself,6,7,7,2,5
duchess,42,7,6,2,5
savage,4,6,5,3,3
kept,13,4,4,1,3
desperate,1,9,7,4,5
ready,8,5,5,2,3
help,9,4,4,1,3
timid,3,5,4,2,3
voice,48,5,5,3,2
sir,7,3,3,1,2
violently,4,9,8,3,6
dropped,5,7,5,2,5
skurried,1,8,7,3,5
darkness,1,8,7,2,6
hard,8,4,4,1,3
fanning,1,7,5,2,5
queer,12,5,4,3,2
everything,14,10,9,3,7
yesterday,3,9,7,3,6
usual,5,5,4,3,2
changed,8,7,7,2,5
morning,5,7,6,2,5
different,9,9,7,3,6
ah,5,2,2,1,1
puzzle,1,6,5,2,4
thinking,11,8,6,2,6
knew,14,4,4,1,3
age,4,3,3,2,1
ada,1,3,2,2,1
hair,7,4,4,2,2
goes,7,4,4,2,2
ringlets,2,8,8,2,6
mine,10,4,4,2,2
doesn,16,5,5,2,3
mabel,4,5,5,2,3
sorts,3,5,4,1,4
knows,2,5,5,1,4
besides,4,7,5,3,4
puzzling,4,8,7,2,6
used,13,4,4,2,2
times,6,5,5,2,3
five,8,4,4,2,2
twelve,4,6,5,2,4
six,2,3,3,1,2
thirteen,1,8,6,3,5
seven,6,5,4,2,3
twenty,3,6,5,1,5
multiplication,1,14,10,6,8
signify,1,7,6,2,5
geography,1,9,8,3,6
london,1,6,4,2,4
capital,4,7,6,3,4
paris,2,5,5,2,3
rome,2,4,4,2,2
wrong,5,5,5,1,4
doth,3,4,4,1,3
crossed,3,7,6,2,5
hands,12,5,5,1,4
lap,2,3,3,1,2
repeat,7,6,5,3,3
sounded,5,7,6,3,4
hoarse,3,6,6,3,3
strange,5,7,7,2,5
crocodile,1,9,7,4,5
improve,1,7,7,3,4
his,96,3,3,1,2
shining,1,7,5,2,5
tail,9,4,4,2,2
pour,1,4,4,2,2
waters,1,6,6,2,4
nile,1,4,4,2,2
scale,1,5,5,2,3
cheerfully,1,10,8,3,7
seems,5,5,3,2,3
grin,6,4,4,1,3
neatly,2,6,6,2,4
spread,3,6,6,2,4
claws,2,5,5,1,4
welcome,1,7,6,3,4
fishes,1,6,5,2,4
gently,3,6,6,1,5
smiling,2,7,6,2,5
jaws,2,4,4,1,3
live,8,4,4,2,2
poky,1,4,4,1,3
toys,1,4,4,1,3
play,8,4,4,1,3
learn,7,5,5,2,3
stay,5,4,4,1,3
putting,3,7,6,2,5
being,19,5,5,2,3
till,21,4,3,1,3
sudden,5,6,5,2,4
burst,1,5,5,1,4
alone,4,5,5,3,2
done,15,4,4,2,2
measure,1,7,6,4,3
nearly,11,6,6,2,4
guess,3,5,4,2,3
shrinking,4,9,7,2,7
rapidly,2,7,7,2,5
cause,3,5,5,3,2
avoid,1,5,5,3,2
narrow,2,6,5,2,4
escape,4,6,5,3,3
frightened,7,10,9,3,7
change,14,6,6,2,4
existence,1,9,7,4,5
speed,1,5,4,2,3
worse,3,5,5,2,3
declare,2,7,6,3,4
bad,2,3,3,1,2
these,14,5,4,2,3
slipped,3,7,6,2,5
splash,1,6,5,1,5
chin,7,4,4,1,3
salt,2,4,4,1,3
water,5,5,5,2,3
somehow,1,7,6,3,4
sea,14,3,3,2,1
case,5,4,4,2,2
railway,2,7,6,3,4
seaside,1,7,5,4,3
general,3,7,6,3,4
conclusion,2,10,7,4,6
wherever,2,8,5,3,5
coast,1,5,5,2,3
number,5,6,6,2,4
bathing,1,7,7,2,5
machines,1,8,8,3,5
digging,4,7,4,2,5
sand,1,4,4,1,3
wooden,1,6,5,3,3
spades,1,6,5,2,4
lodging,1,7,6,2,5
houses,1,6,5,3,3
station,1,7,6,3,4
wept,1,4,4,1,3
hadn,8,4,4,1,3
swam,5,4,4,1,3
punished,1,8,8,3,5
suppose,14,7,5,3,4
drowned,1,7,6,2,5
something,18,9,9,3,6
splashing,2,9,8,2,7
nearer,5,6,4,3,3
walrus,1,6,6,2,4
hippopotamus,1,12,9,5,7
talk,14,4,4,1,3
harm,1,4,4,1,3
swimming,2,8,6,2,6
speaking,5,8,8,3,5
brother,1,7,6,2,5
latin,1,5,5,2,3
grammar,1,7,4,2,5
inquisitively,1,13,10,6,7
wink,2,4,4,1,3
understand,6,10,8,3,7
daresay,1,7,6,3,4
french,4,6,6,1,5
william,8,7,5,3,4
conqueror,2,9,7,4,5
history,7,7,7,2,5
clear,2,5,5,2,3
notion,3,6,4,3,3
ago,2,3,3,2,1
est,1,3,3,1,2
chatte,1,6,5,2,4
sentence,6,8,5,3,5
lesson,3,6,5,2,4
leap,1,4,4,2,2
quiver,1,6,6,3,3
fright,2,6,6,1,5
beg,8,3,3,1,2
pardon,6,6,6,2,4
animal,2,6,5,3,3
feelings,2,8,7,3,5
shrill,5,6,5,1,5
passionate,1,10,8,5,5
soothing,1,8,7,3,5
tone,40,4,4,2,2
angry,5,5,5,1,4
yet,25,3,3,1,2
show,3,4,4,1,3
our,8,3,3,2,1
quiet,2,5,5,3,2
lazily,1,6,5,2,4
sits,1,4,3,1,3
purring,2,7,6,2,5
nicely,2,6,6,2,4
fire,4,4,4,2,2
licking,1,7,6,2,5
paws,4,4,4,1,3
washing,3,7,7,2,5
soft,1,4,4,1,3
nurse,3,5,5,2,3
catching,2,8,7,2,6
bristling,1,9,8,2,7
offended,10,8,5,3,5
we,34,2,2,1,1
trembling,6,9,9,2,7
subject,6,7,7,2,5
family,1,6,6,2,4
always,13,6,5,2,4
hated,1,5,5,2,3
nasty,1,5,5,1,4
vulgar,1,6,6,2,4
dogs,3,4,4,1,3
eagerly,8,7,6,3,4
dog,3,3,3,1,2
eyed,1,4,3,2,2
terrier,1,7,4,3,4
curly,1,5,5,1,4
brown,2,5,5,1,4
fetch,7,5,5,1,4
throw,3,5,5,1,4
sit,8,3,3,1,2
dinner,2,6,5,2,4
belongs,2,7,7,2,5
farmer,1,6,5,2,4
says,4,4,3,1,3
useful,2,6,5,3,3
hundred,1,7,6,2,5
pounds,1,6,6,2,4
kills,1,5,4,1,4
rats,1,4,4,1,3
sorrowful,2,9,7,3,6
commotion,1,9,6,4,5
called,15,6,5,2,4
softly,1,6,6,1,5
pale,4,4,4,2,2
passion,3,7,6,3,4
us,14,2,2,1,1
shore,4,5,5,2,3
hate,2,4,4,2,2
crowded,5,7,6,2,5
birds,10,5,5,1,4
animals,4,7,6,3,4
duck,4,4,4,1,3
dodo,13,4,2,2,2
lory,7,4,4,1,3
eaglet,3,6,5,3,3
creatures,10,9,7,4,5
whole,13,5,5,2,3
party,10,5,5,1,4
caucus,3,6,4,3,3
race,6,4,4,2,2
tale,4,4,4,2,2
looking,32,7,6,3,4
assembled,2,9,7,3,6
draggled,1,8,6,2,6
feathers,1,8,7,3,5
fur,3,3,3,1,2
clinging,1,8,5,2,6
dripping,1,8,6,2,6
wet,2,3,3,1,2
cross,3,5,4,1,4
uncomfortable,4,13,12,5,8
course,26,6,6,3,3
consultation,1,12,9,5,7
familiarly,1,10,7,4,6
known,1,5,4,1,4
argument,4,8,8,3,5
last,33,4,4,1,3
sulky,3,5,5,1,4
older,2,5,5,2,3
better,14,6,4,2,4
allow,3,5,4,2,3
knowing,2,7,6,2,5
old,19,3,3,1,2
positively,1,10,9,4,6
refused,1,7,6,3,4
authority,2,9,8,4,5
ring,2,4,4,1,3
fixed,1,5,5,2,3
cold,1,4,4,1,3
ahem,1,4,4,2,2
important,7,9,8,3,6
driest,1,6,6,2,4
silence,14,7,6,3,4
whose,2,5,5,2,3
favoured,1,8,8,4,4
pope,1,4,3,2,2
submitted,1,9,8,3,6
wanted,4,6,6,2,4
leaders,1,7,6,3,4
accustomed,1,10,9,4,6
usurpation,1,10,9,5,5
conquest,1,8,8,3,5
edwin,2,5,5,2,3
morcar,2,6,5,2,4
earls,2,5,5,2,3
mercia,2,6,6,3,3
northumbria,2,11,10,4,7
ugh,2,3,3,1,2
shiver,1,6,6,2,4
frowning,4,8,7,2,6
politely,6,8,7,3,5
proceed,2,7,6,3,4
declared,1,8,6,3,5
him,43,3,3,1,2
stigand,1,7,7,2,5
patriotic,1,9,7,4,5
archbishop,2,10,9,3,7
canterbury,1,10,9,3,7
advisable,2,9,8,4,5
replied,29,7,6,3,4
crossly,1,7,6,1,6
means,5,5,5,2,3
frog,3,4,4,1,3
worm,1,4,4,1,3
notice,5,6,6,3,3
hurriedly,2,9,8,3,6
edgar,1,5,5,2,3
atheling,1,8,8,3,5
meet,2,4,3,2,2
offer,2,5,4,2,3
crown,3,5,5,1,4
conduct,1,7,6,2,5
moderate,1,8,7,4,4
insolence,1,9,7,4,5
normans,1,7,6,2,5
continued,9,9,8,4,5
turning,12,7,6,2,5
melancholy,6,10,9,3,7
solemnly,4,8,7,2,6
rising,1,6,5,2,4
move,3,4,4,2,2
meeting,1,7,6,3,4
adjourn,1,7,7,3,4
immediate,1,9,6,5,4
adoption,1,8,7,4,4
energetic,1,9,7,4,5
remedies,1,8,6,4,4
meaning,8,7,6,3,4
believe,9,7,5,4,3
bent,1,4,4,1,3
hide,1,4,4,2,2
smile,2,5,5,2,3
tittered,1,8,5,3,5
audibly,1,7,7,3,4
paused,1,6,6,3,3
inclined,1,8,6,3,5
explain,10,7,7,3,4
winter,1,6,6,2,4
circle,1,6,5,2,4
exact,1,5,5,2,3
shape,1,5,5,2,3
placed,1,6,6,2,4
running,8,7,5,2,5
liked,6,5,5,2,3
easy,2,4,4,2,2
hour,2,4,4,2,2
panting,2,7,6,2,5
has,7,3,3,1,2
pressed,3,7,5,2,5
forehead,2,8,7,4,4
position,2,8,6,4,4
shakespeare,1,11,7,5,6
rest,10,4,4,1,3
everybody,8,9,7,3,6
prizes,5,6,6,2,4
chorus,6,6,6,2,4
voices,3,6,6,3,3
asked,17,5,5,2,3
pointing,4,8,6,3,5
calling,1,7,6,2,5
confused,4,8,8,3,5
despair,1,7,7,3,4
pulled,1,6,5,2,4
comfits,2,7,7,2,5
luckily,2,7,6,2,5
handed,3,6,5,2,4
exactly,8,7,7,2,5
piece,6,5,4,3,2
prize,1,5,5,2,3
gravely,3,7,7,2,5
thimble,4,7,7,2,5
presented,1,9,7,3,6
acceptance,1,10,6,4,6
elegant,1,7,6,3,4
short,4,5,5,1,4
speech,3,6,5,2,4
cheered,3,7,5,3,4
absurd,2,6,6,2,4
grave,3,5,5,2,3
dare,5,4,4,2,2
laugh,1,5,5,2,3
simply,3,6,6,1,5
bowed,4,5,5,2,3
solemn,3,6,6,2,4
caused,2,6,6,3,3
noise,3,5,5,3,2
confusion,5,9,7,4,5
complained,1,10,10,4,6
theirs,1,6,6,2,4
ones,1,4,4,2,2
choked,3,6,6,2,4
patted,1,6,5,2,4
begged,1,6,4,2,4
